UUID,"[Number of vertices, Number of edges]",Edge Set
9fa8ce2e-64f2-4629-b661-afe79850a7b1,"[10, 9]","[(0, 4), (1, 7), (2, 7), (3, 4), (3, 7), (4, 5), (4, 6), (7, 9), (8, 9)]"
c3b328d3-5186-46e6-8457-73427ef30471,"[10, 9]","[(0, 3), (0, 5), (1, 4), (1, 7), (1, 8), (2, 6), (4, 6), (5, 7), (5, 9)]"
f5a90648-46f4-4cc1-8154-2e8b37bbd18f,"[10, 9]","[(0, 6), (1, 6), (1, 7), (2, 7), (2, 8), (3, 5), (4, 6), (5, 6), (8, 9)]"
267ddd82-c501-4c5f-85f1-8d4791bda419,"[11, 10]","[(0, 7), (0, 10), (1, 9), (2, 5), (3, 6), (3, 7), (3, 8), (4, 6), (4, 9), (5, 8)]"
163d19f2-ba30-4a24-9988-e949ad6b36d8,"[11, 10]","[(0, 1), (0, 9), (1, 4), (1, 8), (2, 4), (3, 7), (4, 10), (5, 10), (6, 8), (7, 9)]"
d890a3be-de63-445a-bcc3-754dc1959fea,"[11, 10]","[(0, 1), (0, 7), (1, 5), (2, 4), (2, 8), (3, 5), (3, 6), (3, 8), (4, 10), (9, 10)]"
4e6b45a1-158a-4651-84d2-113ea81a3eab,"[11, 10]","[(0, 5), (0, 8), (1, 4), (1, 10), (2, 7), (3, 10), (4, 6), (6, 7), (7, 8), (8, 9)]"
ed8ffdbd-5e04-4f2b-a501-7edc475a4186,"[11, 10]","[(0, 4), (0, 7), (1, 4), (2, 3), (2, 9), (3, 10), (4, 8), (4, 10), (5, 9), (6, 8)]"
bf1a66a5-ad51-4d29-b762-e1e74738003f,"[11, 10]","[(0, 1), (0, 5), (0, 6), (0, 9), (1, 2), (3, 7), (4, 8), (5, 7), (7, 8), (9, 10)]"
216e75e3-2ff5-4824-8fcb-5423d37c73a5,"[11, 10]","[(0, 10), (1, 2), (1, 3), (2, 8), (3, 4), (3, 5), (5, 6), (6, 7), (6, 10), (9, 10)]"
6a43ea37-1834-4f8b-ab68-341fa2858617,"[11, 10]","[(0, 3), (0, 5), (1, 7), (2, 10), (3, 4), (3, 9), (4, 6), (4, 10), (7, 8), (8, 10)]"
32b19341-4a2a-44f4-86ca-a094e48507c9,"[11, 10]","[(0, 3), (0, 4), (1, 10), (2, 3), (2, 5), (2, 6), (2, 8), (3, 7), (3, 10), (6, 9)]"
9bec606c-6906-4d2b-86af-9097cba0de65,"[11, 10]","[(0, 7), (1, 2), (1, 9), (1, 10), (2, 6), (3, 4), (4, 9), (5, 9), (7, 10), (8, 9)]"
d91ec67e-3ff3-42e2-97a5-8f31afd9b6a4,"[12, 11]","[(0, 2), (0, 7), (1, 4), (2, 3), (2, 8), (2, 11), (3, 6), (4, 10), (5, 6), (7, 10), (9, 11)]"
37a2809a-85c2-48fb-8d82-7decc42f3798,"[12, 11]","[(0, 1), (0, 7), (0, 10), (1, 3), (2, 4), (3, 4), (3, 9), (3, 11), (4, 8), (5, 6), (5, 10)]"
78fe238d-8c6e-4ebb-aaa4-8c5742dc7e52,"[12, 11]","[(0, 2), (0, 7), (0, 8), (1, 5), (1, 11), (3, 8), (4, 10), (5, 8), (6, 7), (7, 9), (9, 10)]"
008e2908-2612-4da6-a38f-66e18c011794,"[12, 11]","[(0, 9), (1, 3), (2, 3), (2, 9), (2, 10), (4, 5), (5, 7), (5, 11), (6, 7), (7, 8), (7, 10)]"
83631d68-5f9a-4e9b-8fed-2e46e10b31ad,"[12, 11]","[(0, 11), (1, 2), (1, 10), (3, 4), (3, 6), (3, 8), (3, 10), (4, 5), (4, 9), (6, 7), (6, 11)]"
f37854b5-b1da-4b14-8842-916c679a6adf,"[12, 11]","[(0, 3), (1, 3), (1, 5), (2, 4), (2, 5), (2, 8), (2, 9), (3, 11), (5, 10), (6, 7), (6, 9)]"
499a7f95-26bf-47b8-a756-c8dc90efe74a,"[12, 11]","[(0, 3), (1, 2), (1, 10), (2, 4), (2, 7), (3, 5), (4, 8), (4, 9), (5, 9), (6, 8), (8, 11)]"
25ebd87d-2406-4ccb-b033-40a8301d86d9,"[12, 11]","[(0, 4), (1, 8), (2, 11), (3, 5), (3, 6), (3, 9), (4, 11), (5, 7), (5, 10), (8, 11), (9, 11)]"
dcf4fa71-0233-4b73-a769-f22c03bfb15a,"[12, 11]","[(0, 1), (0, 6), (0, 8), (2, 4), (2, 9), (3, 10), (5, 8), (6, 10), (7, 8), (8, 9), (8, 11)]"
6c03a19a-8892-4acc-97c7-941996ca0a68,"[12, 11]","[(0, 8), (1, 2), (1, 3), (1, 4), (3, 7), (4, 6), (4, 11), (5, 9), (6, 9), (7, 10), (8, 11)]"
61c2e9f6-c6e7-4463-ba42-b16552478d05,"[13, 12]","[(0, 1), (0, 6), (0, 12), (1, 8), (2, 5), (2, 11), (3, 10), (4, 6), (4, 7), (7, 10), (7, 11), (9, 12)]"
ae714e61-72d4-4d07-84ae-dfb1167893e7,"[13, 12]","[(0, 8), (0, 11), (1, 8), (2, 9), (3, 8), (4, 6), (4, 9), (4, 11), (5, 10), (7, 8), (9, 10), (11, 12)]"
7ceb144a-8951-411a-9594-e30c8f31d4d1,"[13, 12]","[(0, 2), (0, 3), (0, 8), (1, 5), (2, 9), (4, 5), (4, 7), (4, 9), (4, 12), (6, 11), (7, 11), (9, 10)]"
991e4213-f424-4db9-9438-ed69e6885db3,"[13, 12]","[(0, 1), (0, 6), (1, 9), (2, 3), (2, 7), (3, 6), (4, 9), (5, 7), (5, 10), (8, 10), (8, 11), (9, 12)]"
2f659268-f7e9-406f-896b-f9f57ba0be6d,"[13, 12]","[(0, 3), (0, 7), (0, 8), (0, 12), (1, 2), (2, 6), (3, 4), (5, 8), (6, 10), (8, 9), (8, 10), (11, 12)]"
eb97834e-9abf-4999-b0be-79347695bb78,"[13, 12]","[(0, 12), (1, 4), (1, 6), (1, 9), (2, 12), (3, 5), (5, 7), (5, 10), (6, 8), (6, 11), (7, 8), (8, 12)]"
2083b4dd-1c3b-4f87-a409-74ab37be337b,"[13, 12]","[(0, 4), (0, 8), (0, 10), (1, 5), (1, 7), (1, 12), (2, 4), (3, 7), (6, 12), (8, 12), (9, 11), (9, 12)]"
355f4f89-588e-4835-a77b-8a0c917b2708,"[13, 12]","[(0, 4), (1, 3), (1, 5), (1, 6), (1, 7), (2, 5), (2, 8), (3, 4), (3, 10), (9, 12), (10, 12), (11, 12)]"
1fceb7d8-b841-4fbe-8347-3014b2cdfd7f,"[13, 12]","[(0, 2), (0, 6), (1, 3), (2, 7), (3, 6), (3, 10), (4, 6), (4, 8), (4, 9), (4, 11), (5, 7), (8, 12)]"
c70d3d74-d7d5-492d-b5da-8da9b5db87bf,"[13, 12]","[(0, 9), (1, 2), (1, 8), (2, 6), (3, 4), (4, 8), (5, 9), (6, 9), (7, 10), (9, 10), (10, 12), (11, 12)]"
3c723b9d-b96c-462f-97f2-5c96102f4f8f,"[14, 13]","[(0, 12), (1, 3), (2, 3), (3, 11), (3, 12), (4, 7), (5, 11), (6, 12), (7, 9), (7, 10), (8, 10), (9, 13), (12, 13)]"
b2fb1f82-f021-4dc8-b824-720bd1efe043,"[14, 13]","[(0, 4), (0, 6), (0, 7), (0, 8), (1, 3), (1, 7), (1, 11), (2, 6), (2, 10), (3, 13), (5, 9), (5, 12), (6, 9)]"
97654007-0054-4d85-aed1-0694c688d251,"[14, 13]","[(0, 4), (0, 6), (0, 9), (1, 6), (1, 11), (2, 10), (3, 8), (3, 13), (5, 6), (7, 10), (10, 11), (10, 12), (11, 13)]"
d9a0bbdf-de5a-44bd-8d1f-cbe5f28cb7ec,"[14, 13]","[(0, 4), (0, 7), (1, 2), (1, 7), (3, 6), (4, 11), (4, 12), (5, 13), (6, 10), (6, 13), (7, 8), (7, 13), (8, 9)]"
48585fd2-2b6d-4659-9fb8-072b5e771b1e,"[14, 13]","[(0, 3), (0, 5), (0, 9), (1, 8), (2, 9), (4, 11), (4, 13), (6, 8), (7, 9), (8, 10), (9, 10), (9, 13), (12, 13)]"
22ea5bd3-ce6a-47f8-8d06-29e81ff2e1aa,"[14, 13]","[(0, 5), (0, 7), (0, 13), (1, 2), (1, 3), (1, 4), (2, 12), (3, 10), (4, 6), (4, 8), (9, 13), (11, 12), (11, 13)]"
8fa1c3d1-3411-43cd-b807-ca7601295596,"[14, 13]","[(0, 1), (0, 7), (1, 8), (2, 9), (2, 10), (3, 9), (3, 11), (4, 5), (5, 6), (5, 10), (6, 8), (6, 13), (8, 12)]"
28806f02-2f03-4bbe-adac-534d0057957a,"[14, 13]","[(0, 4), (0, 6), (0, 7), (0, 10), (1, 3), (1, 5), (2, 8), (2, 12), (3, 9), (3, 11), (4, 11), (7, 8), (7, 13)]"
25eefc47-62d6-447f-82db-6e5bdac95baa,"[14, 13]","[(0, 4), (1, 5), (2, 13), (3, 6), (3, 8), (4, 11), (4, 12), (4, 13), (5, 11), (7, 8), (8, 10), (9, 10), (10, 13)]"
73e69826-d631-4412-a4a7-5ef5a382913c,"[14, 13]","[(0, 3), (0, 5), (0, 10), (1, 5), (2, 5), (2, 11), (4, 7), (5, 6), (6, 12), (7, 12), (8, 11), (9, 10), (11, 13)]"
2cbf17a0-70d9-4ee7-8fc6-85de31e6d3a7,"[15, 14]","[(0, 10), (0, 14), (1, 6), (1, 9), (1, 12), (2, 3), (3, 6), (3, 8), (3, 11), (3, 13), (4, 10), (5, 10), (7, 9), (9, 14)]"
513a7851-ed34-4eb8-a064-9c015992f8cb,"[15, 14]","[(0, 9), (0, 10), (1, 2), (1, 10), (2, 14), (3, 4), (3, 7), (3, 8), (4, 13), (5, 9), (5, 12), (6, 12), (7, 12), (11, 12)]"
520c8342-d4b1-42d4-87a8-3401bf991748,"[15, 14]","[(0, 10), (1, 4), (2, 8), (3, 9), (4, 9), (4, 13), (5, 8), (5, 11), (6, 9), (6, 11), (7, 14), (8, 10), (8, 14), (9, 12)]"
5a74f5d5-3d38-40a1-bef8-eeee0f325e83,"[15, 14]","[(0, 1), (0, 10), (1, 6), (2, 14), (3, 12), (3, 13), (4, 6), (5, 6), (6, 9), (7, 11), (8, 9), (8, 12), (8, 14), (10, 11)]"
b38e341b-ec9e-437a-91cf-c84e8f9dda54,"[15, 14]","[(0, 12), (1, 3), (1, 12), (2, 13), (4, 7), (5, 8), (5, 9), (6, 7), (7, 10), (9, 10), (9, 12), (11, 13), (11, 14), (12, 14)]"
118bb1f2-0f7f-484e-8e0e-537f7a7473ff,"[15, 14]","[(0, 2), (1, 5), (1, 12), (2, 11), (3, 4), (3, 8), (3, 12), (5, 7), (6, 9), (8, 11), (9, 10), (10, 11), (11, 14), (12, 13)]"
b4b0d9df-9f5f-4212-bf7a-bfe2fe30a379,"[15, 14]","[(0, 6), (0, 12), (0, 13), (1, 3), (1, 4), (2, 7), (3, 7), (3, 8), (5, 11), (5, 13), (6, 10), (7, 14), (9, 10), (9, 14)]"
c966f192-5371-47f1-96ee-857cca1e0cbb,"[15, 14]","[(0, 2), (0, 13), (1, 11), (2, 9), (2, 12), (3, 10), (4, 5), (4, 9), (6, 7), (6, 12), (8, 13), (8, 14), (9, 11), (10, 12)]"
45cb5a1a-1307-49e0-9d23-3e49e129a091,"[15, 14]","[(0, 1), (0, 4), (0, 6), (0, 14), (1, 5), (1, 9), (1, 13), (2, 10), (3, 13), (4, 11), (5, 12), (7, 14), (8, 9), (10, 11)]"
c28a08c2-2b11-43ea-8afa-c133933fa479,"[15, 14]","[(0, 4), (0, 8), (0, 9), (0, 12), (1, 5), (1, 10), (2, 9), (3, 9), (4, 7), (4, 13), (6, 14), (7, 10), (11, 12), (11, 14)]"
26505352-0eca-4ef7-9d75-c4e8949fe7cd,"[16, 15]","[(0, 5), (0, 13), (1, 14), (2, 8), (3, 8), (3, 10), (4, 5), (4, 7), (4, 15), (6, 7), (7, 14), (9, 11), (9, 14), (10, 11), (12, 14)]"
2b31d09f-02f9-4952-a16e-e0ccaab8133f,"[16, 15]","[(0, 13), (1, 2), (1, 10), (1, 13), (3, 5), (3, 7), (3, 9), (4, 7), (5, 6), (7, 11), (7, 12), (8, 13), (9, 15), (10, 12), (13, 14)]"
171bb2b7-ccfc-4277-9230-a87e8a38c9bb,"[16, 15]","[(0, 8), (1, 8), (1, 11), (1, 15), (2, 4), (3, 7), (3, 12), (4, 10), (4, 14), (5, 6), (6, 15), (7, 11), (9, 12), (10, 13), (11, 13)]"
0ab350e1-50cf-49fb-b82b-86cd56edbfbc,"[16, 15]","[(0, 12), (1, 7), (1, 11), (2, 5), (2, 12), (3, 11), (3, 12), (3, 13), (4, 12), (5, 6), (6, 10), (7, 8), (7, 9), (11, 14), (11, 15)]"
27756bb5-ef56-4f1f-b2f6-13f0518f0b42,"[16, 15]","[(0, 7), (0, 10), (0, 14), (1, 5), (1, 9), (1, 11), (2, 11), (3, 9), (4, 6), (4, 11), (6, 7), (8, 13), (9, 13), (10, 15), (11, 12)]"
15951275-d847-4193-822d-dd37e42b3fa8,"[16, 15]","[(0, 13), (1, 3), (1, 7), (2, 5), (2, 9), (2, 12), (3, 11), (4, 8), (6, 10), (6, 12), (7, 15), (8, 11), (9, 15), (10, 13), (13, 14)]"
1d41cc6b-a7e6-44a1-a8e4-801a35e5d9bc,"[16, 15]","[(0, 5), (0, 7), (1, 10), (2, 13), (2, 14), (3, 7), (4, 9), (4, 12), (4, 15), (6, 15), (7, 11), (8, 12), (10, 14), (11, 14), (12, 14)]"
5262703c-58a6-42e5-8873-9928bde5a7a4,"[16, 15]","[(0, 14), (1, 3), (1, 10), (1, 13), (2, 12), (4, 10), (5, 11), (5, 12), (5, 14), (6, 14), (7, 15), (8, 9), (8, 15), (10, 15), (12, 13)]"
04e95332-12fd-4797-8f3f-98d445303dc9,"[16, 15]","[(0, 8), (1, 13), (2, 13), (2, 15), (3, 4), (4, 8), (4, 13), (5, 6), (5, 8), (6, 12), (7, 11), (9, 10), (9, 14), (11, 13), (14, 15)]"
24f6a1e5-3074-4322-823b-e949a69d248f,"[16, 15]","[(0, 14), (1, 13), (2, 13), (3, 9), (4, 7), (4, 11), (4, 12), (4, 13), (5, 9), (5, 13), (6, 14), (8, 13), (10, 13), (13, 14), (13, 15)]"
a112ed01-47bc-4799-8e9b-4f48c11ffb81,"[17, 16]","[(0, 3), (0, 6), (0, 12), (0, 14), (1, 3), (2, 6), (2, 9), (3, 5), (4, 11), (4, 13), (5, 8), (6, 13), (7, 9), (10, 11), (10, 16), (12, 15)]"
5bbb2406-3258-4958-9f03-d2e47f889e57,"[17, 16]","[(0, 1), (0, 2), (0, 6), (1, 3), (1, 10), (1, 12), (2, 9), (4, 12), (5, 16), (7, 11), (7, 14), (8, 12), (8, 16), (9, 13), (11, 15), (11, 16)]"
b7cb5485-14eb-4d93-8806-81b8461fe8b8,"[17, 16]","[(0, 3), (1, 8), (1, 12), (2, 3), (2, 8), (2, 10), (3, 13), (4, 5), (5, 13), (6, 7), (6, 10), (6, 14), (8, 16), (9, 16), (10, 15), (11, 15)]"
7ae29d95-6010-490f-a44f-b9676daa2a8f,"[17, 16]","[(0, 14), (0, 15), (1, 2), (2, 16), (3, 5), (4, 13), (5, 14), (6, 9), (7, 13), (8, 11), (8, 16), (9, 16), (10, 15), (12, 16), (13, 14), (15, 16)]"
f495d763-5b80-4ab2-b138-ba1a6127dfef,"[17, 16]","[(0, 3), (0, 11), (1, 8), (1, 15), (2, 6), (3, 12), (4, 12), (4, 15), (5, 6), (5, 10), (5, 13), (6, 16), (7, 9), (7, 12), (11, 13), (14, 16)]"
af3fe44b-a853-4012-8132-81caafd308e8,"[17, 16]","[(0, 3), (0, 4), (1, 10), (2, 5), (3, 6), (3, 15), (5, 6), (7, 15), (8, 9), (8, 14), (9, 13), (10, 16), (11, 15), (12, 13), (12, 15), (14, 16)]"
2d39cf3d-ff2c-4732-8f00-3c3c7bb8ae23,"[17, 16]","[(0, 1), (0, 9), (0, 14), (1, 11), (1, 13), (2, 6), (2, 16), (3, 5), (3, 15), (4, 15), (5, 8), (7, 9), (8, 10), (12, 13), (12, 16), (14, 15)]"
4668da63-2f5c-4d7c-9c02-cb0984c71331,"[17, 16]","[(0, 2), (0, 7), (1, 3), (1, 5), (2, 16), (4, 8), (4, 9), (4, 10), (5, 10), (5, 15), (6, 7), (6, 13), (10, 11), (12, 14), (12, 15), (13, 14)]"
7760aa44-2132-45bd-9114-ccc316abfb59,"[17, 16]","[(0, 6), (0, 14), (0, 16), (1, 2), (2, 4), (3, 7), (3, 10), (4, 9), (4, 11), (5, 15), (7, 9), (8, 14), (9, 14), (11, 12), (11, 15), (13, 14)]"
40d28968-3212-4aa2-8ab2-3db763c3d2ad,"[17, 16]","[(0, 15), (1, 9), (2, 8), (3, 15), (4, 5), (4, 8), (4, 11), (6, 7), (6, 9), (7, 15), (9, 16), (10, 11), (10, 14), (11, 12), (12, 16), (13, 16)]"
eef8b080-62ba-4dfd-816d-ddedec9dcd1e,"[18, 17]","[(0, 12), (0, 17), (1, 15), (1, 16), (2, 5), (2, 6), (2, 11), (2, 13), (3, 6), (4, 13), (7, 10), (7, 12), (8, 11), (9, 14), (11, 17), (12, 14), (12, 16)]"
0416749f-78b9-4b98-9969-1a89389839b5,"[18, 17]","[(0, 3), (0, 7), (0, 12), (1, 13), (2, 7), (2, 15), (3, 14), (4, 7), (4, 9), (5, 14), (5, 17), (6, 8), (6, 13), (7, 8), (10, 16), (10, 17), (11, 17)]"
f7f25f7a-8afb-4cbb-b61e-aa7844352e86,"[18, 17]","[(0, 6), (0, 16), (1, 14), (2, 4), (2, 17), (3, 4), (3, 14), (4, 9), (4, 10), (5, 10), (6, 8), (6, 15), (7, 13), (8, 12), (8, 13), (11, 15), (11, 17)]"
9e7c93f2-aa1c-4b0d-9817-982e0bbf225e,"[18, 17]","[(0, 13), (0, 14), (1, 6), (1, 9), (2, 8), (2, 15), (2, 17), (3, 7), (4, 5), (4, 16), (7, 9), (7, 16), (8, 16), (10, 14), (10, 15), (11, 12), (12, 16)]"
5dd72a02-cf5e-4fb7-996a-3dcef349fc71,"[18, 17]","[(0, 9), (1, 9), (2, 9), (2, 14), (3, 5), (3, 15), (4, 8), (5, 10), (6, 17), (7, 13), (8, 13), (8, 16), (8, 17), (9, 12), (9, 13), (11, 12), (11, 15)]"
ccffd57e-7611-42c4-a4d7-40669e3ed095,"[18, 17]","[(0, 4), (0, 7), (0, 12), (1, 16), (2, 8), (2, 9), (2, 10), (3, 6), (4, 13), (5, 6), (5, 17), (7, 8), (7, 14), (9, 11), (9, 16), (12, 17), (13, 15)]"
ea82138e-c03f-42ab-bdcc-c015ec881c6f,"[18, 17]","[(0, 1), (0, 17), (1, 4), (1, 16), (2, 9), (2, 10), (2, 13), (3, 5), (5, 6), (5, 15), (5, 16), (7, 13), (8, 14), (9, 14), (10, 11), (12, 14), (13, 16)]"
69e0b1c4-b655-4c12-b0d2-7e9e5b6f573a,"[18, 17]","[(0, 5), (0, 14), (1, 8), (1, 11), (2, 10), (2, 11), (3, 14), (4, 7), (4, 13), (5, 11), (5, 12), (6, 17), (7, 16), (9, 12), (9, 16), (13, 15), (13, 17)]"
b34099d1-1ffe-4086-bd6a-60ed6b7d7760,"[18, 17]","[(0, 6), (0, 7), (1, 12), (1, 15), (2, 3), (2, 9), (4, 8), (4, 15), (4, 16), (5, 10), (5, 12), (7, 11), (7, 17), (9, 14), (11, 14), (13, 15), (13, 17)]"
caa5b2c8-e090-4501-9833-80b63deacb86,"[18, 17]","[(0, 7), (1, 2), (1, 4), (2, 16), (3, 9), (4, 9), (5, 15), (6, 11), (6, 13), (7, 11), (8, 11), (9, 13), (10, 13), (12, 13), (13, 14), (15, 16), (16, 17)]"
5819a28d-5e3a-4aea-88f8-1d2f204f7918,"[19, 18]","[(0, 18), (1, 4), (1, 5), (2, 5), (2, 8), (3, 5), (3, 10), (5, 11), (6, 14), (6, 17), (7, 14), (7, 18), (8, 16), (9, 13), (9, 18), (11, 12), (12, 13), (15, 18)]"
099040f6-adc8-4cf8-95d4-e78c7c0c37e5,"[19, 18]","[(0, 6), (0, 7), (1, 5), (2, 8), (2, 13), (2, 16), (3, 6), (3, 9), (3, 15), (4, 11), (5, 7), (5, 18), (6, 12), (10, 11), (11, 14), (11, 17), (14, 15), (16, 18)]"
3b9330ec-b98d-46fd-9df3-3fdaa8895d8f,"[19, 18]","[(0, 4), (0, 16), (0, 17), (1, 3), (2, 14), (3, 13), (3, 17), (5, 15), (6, 10), (6, 18), (7, 12), (8, 14), (9, 10), (9, 17), (11, 12), (11, 18), (12, 15), (14, 17)]"
7b6b579d-2a4c-4b5e-8ee2-fd3cdaf17315,"[19, 18]","[(0, 1), (0, 14), (1, 8), (2, 7), (2, 12), (2, 17), (3, 5), (3, 18), (4, 15), (5, 6), (5, 16), (6, 12), (6, 13), (7, 10), (9, 14), (9, 17), (11, 12), (12, 15)]"
0228d224-b24b-4370-8344-07ec73044c91,"[19, 18]","[(0, 1), (0, 10), (2, 5), (2, 13), (3, 10), (3, 12), (4, 14), (4, 15), (5, 6), (6, 7), (6, 14), (8, 14), (9, 17), (10, 18), (11, 13), (11, 17), (12, 16), (17, 18)]"
982cd01f-70d3-4fc5-bda5-e104045a5b38,"[19, 18]","[(0, 10), (0, 13), (1, 3), (1, 15), (1, 17), (2, 14), (3, 6), (3, 14), (3, 18), (4, 5), (5, 11), (7, 14), (8, 11), (8, 12), (9, 15), (10, 14), (12, 13), (15, 16)]"
618086c6-69bf-4e02-8b1b-929edc91b533,"[19, 18]","[(0, 11), (1, 7), (1, 12), (1, 13), (1, 17), (2, 9), (2, 17), (3, 18), (4, 6), (4, 16), (5, 6), (6, 10), (6, 14), (8, 12), (8, 18), (11, 12), (14, 18), (15, 16)]"
01408bde-008f-44fe-ac64-df0d01feb2d2,"[19, 18]","[(0, 8), (1, 6), (2, 6), (2, 15), (2, 17), (3, 5), (3, 15), (4, 10), (5, 12), (6, 8), (6, 10), (6, 14), (7, 11), (9, 12), (10, 18), (11, 14), (13, 18), (15, 16)]"
e716987f-4fce-4acc-8f78-97baf42ecf04,"[19, 18]","[(0, 12), (0, 18), (1, 6), (2, 5), (2, 17), (3, 4), (3, 17), (5, 7), (5, 10), (6, 11), (6, 16), (7, 9), (8, 14), (8, 15), (10, 12), (11, 13), (12, 15), (13, 14)]"
a10acd70-7143-4013-98f9-022e65206ef0,"[19, 18]","[(0, 9), (0, 16), (1, 3), (2, 3), (2, 8), (2, 13), (2, 15), (3, 10), (4, 8), (5, 7), (5, 11), (5, 14), (6, 8), (6, 12), (7, 17), (11, 16), (12, 18), (17, 18)]"
e1595098-d14f-4cff-af91-2bf4f2fe2237,"[20, 19]","[(0, 11), (0, 14), (1, 2), (2, 15), (3, 5), (4, 12), (4, 16), (5, 18), (6, 14), (7, 11), (8, 12), (8, 14), (8, 17), (9, 13), (10, 11), (11, 13), (12, 15), (15, 18), (18, 19)]"
