UUID,"[Number of vertices, Number of edges]",Edge Set
b959f987-8ed0-4df3-9e0b-b73c0d8f68ad,"[12, 15]","[(0, 1), (0, 5), (1, 7), (1, 8), (1, 11), (2, 3), (2, 4), (2, 6), (2, 7), (5, 6), (5, 7), (5, 8), (7, 9), (9, 10), (10, 11)]"
135a5054-1a83-434d-a6e9-35eefa8fb677,"[12, 13]","[(0, 4), (1, 2), (1, 3), (2, 4), (2, 9), (2, 10), (3, 9), (4, 7), (5, 6), (5, 7), (5, 11), (7, 11), (8, 10)]"
d60b074b-f405-4e0d-a64f-839d8b616abb,"[12, 14]","[(0, 1), (0, 3), (0, 7), (1, 4), (1, 9), (2, 8), (2, 10), (3, 6), (5, 6), (5, 8), (6, 9), (6, 11), (7, 11), (8, 11)]"
fb20f7a6-675f-4b1b-bc9b-a5c7eda04ef1,"[12, 14]","[(0, 2), (0, 5), (0, 8), (0, 10), (1, 8), (1, 9), (2, 3), (2, 9), (3, 8), (3, 9), (4, 6), (5, 7), (6, 11), (8, 11)]"
c2f9e261-fd59-474c-a162-076bf792792f,"[12, 13]","[(0, 6), (0, 8), (1, 3), (1, 5), (2, 4), (2, 5), (2, 10), (2, 11), (3, 7), (3, 11), (5, 9), (6, 9), (7, 8)]"
94880303-c35a-40a8-aacd-1686a9f1510a,"[12, 15]","[(0, 3), (0, 5), (0, 7), (0, 8), (1, 3), (1, 4), (1, 5), (1, 9), (1, 10), (2, 3), (2, 4), (3, 5), (3, 11), (4, 10), (5, 6)]"
d5ba229f-52ad-4958-96e4-b48be13f1c06,"[12, 14]","[(0, 3), (1, 5), (1, 6), (2, 3), (2, 4), (2, 6), (2, 8), (3, 4), (4, 6), (6, 9), (6, 11), (7, 11), (9, 11), (10, 11)]"
584b2a06-289f-4669-ab4a-6640e2ba402b,"[12, 16]","[(0, 1), (0, 5), (0, 7), (0, 9), (1, 4), (1, 11), (2, 10), (3, 5), (3, 6), (3, 7), (4, 7), (4, 8), (4, 10), (6, 10), (6, 11), (7, 8)]"
d2880c4f-2883-4f80-b1db-4037c98031ab,"[13, 15]","[(0, 7), (0, 9), (1, 2), (1, 4), (1, 5), (1, 7), (1, 12), (2, 4), (2, 11), (3, 7), (5, 9), (6, 8), (6, 11), (9, 10), (9, 11)]"
77301fb7-5026-42e5-ac9e-92eb99425ac0,"[13, 15]","[(0, 2), (0, 3), (0, 5), (0, 6), (0, 7), (1, 2), (1, 11), (2, 4), (2, 12), (3, 6), (3, 7), (3, 8), (5, 8), (5, 10), (7, 9)]"
909d2638-ce02-43bb-a100-5459a9b912bc,"[13, 17]","[(0, 4), (0, 6), (1, 9), (2, 6), (2, 12), (3, 4), (3, 6), (3, 11), (4, 8), (4, 9), (4, 12), (5, 12), (6, 7), (7, 10), (7, 11), (8, 10), (8, 12)]"
9bf5c74d-219b-43c1-986d-6a740f98c482,"[13, 15]","[(0, 6), (0, 9), (1, 5), (2, 3), (2, 7), (2, 11), (3, 6), (4, 5), (4, 11), (5, 12), (6, 7), (6, 9), (7, 9), (8, 9), (10, 11)]"
0fb4a46e-d7b0-4119-b7a8-a9809bc52689,"[13, 14]","[(0, 7), (1, 7), (1, 9), (2, 6), (2, 9), (3, 5), (3, 9), (4, 10), (5, 11), (6, 7), (6, 8), (7, 11), (9, 10), (9, 12)]"
ccd0e6ae-20dd-432e-b417-7490c38de644,"[13, 17]","[(0, 4), (0, 6), (1, 4), (2, 3), (2, 10), (3, 5), (4, 8), (5, 7), (5, 8), (5, 11), (6, 8), (6, 9), (6, 12), (7, 8), (7, 9), (9, 11), (9, 12)]"
fa40165e-3a5b-452e-ac00-46a248cd953c,"[13, 16]","[(0, 7), (0, 12), (1, 2), (1, 6), (1, 8), (1, 10), (2, 3), (3, 10), (3, 12), (4, 6), (4, 9), (5, 10), (7, 9), (7, 11), (8, 10), (8, 12)]"
a93b6491-bf64-42aa-aee9-da5ffe50a91e,"[13, 17]","[(0, 3), (1, 11), (1, 12), (2, 3), (2, 6), (3, 7), (3, 10), (4, 12), (5, 6), (5, 7), (6, 9), (6, 10), (7, 9), (7, 12), (8, 11), (9, 12), (10, 11)]"
a6dcc945-2fef-4250-9885-d3445820c2f5,"[13, 15]","[(0, 5), (0, 6), (0, 11), (1, 5), (1, 6), (2, 5), (2, 9), (3, 6), (4, 5), (4, 10), (7, 10), (8, 11), (8, 12), (9, 11), (10, 11)]"
cf428780-b88a-4993-99ba-ca40fb099eae,"[13, 17]","[(0, 7), (1, 6), (1, 11), (1, 12), (2, 6), (2, 7), (2, 10), (2, 11), (2, 12), (3, 6), (4, 12), (5, 10), (5, 12), (6, 9), (6, 11), (7, 10), (8, 10)]"
9d976746-5151-4046-8b5b-ebb55de0d0cb,"[14, 16]","[(0, 1), (0, 2), (0, 7), (0, 8), (0, 10), (0, 11), (1, 6), (2, 13), (3, 8), (3, 11), (4, 5), (5, 10), (6, 13), (8, 9), (8, 13), (12, 13)]"
afc1fdf5-9722-467f-b5cf-3be3f8fe7f61,"[14, 15]","[(0, 1), (0, 8), (0, 11), (1, 2), (1, 4), (1, 8), (2, 5), (2, 7), (2, 8), (3, 6), (4, 9), (4, 10), (6, 10), (6, 12), (10, 13)]"
e54e452a-27e7-4509-9b3c-866dc2ef3989,"[14, 17]","[(0, 1), (0, 13), (1, 3), (1, 12), (2, 3), (2, 4), (3, 5), (3, 9), (3, 10), (4, 5), (4, 8), (5, 8), (5, 10), (6, 7), (7, 11), (7, 12), (10, 12)]"
abb24a72-2b09-402f-8d50-806d65bb7390,"[14, 16]","[(0, 11), (1, 3), (1, 8), (2, 4), (2, 7), (2, 13), (3, 8), (3, 10), (3, 12), (5, 7), (6, 12), (6, 13), (8, 11), (8, 13), (9, 11), (10, 12)]"
48e02f2a-2e74-4867-93c6-380b6d89f7fd,"[14, 15]","[(0, 9), (1, 9), (1, 13), (2, 3), (2, 6), (2, 9), (3, 12), (4, 6), (4, 10), (5, 8), (5, 12), (7, 9), (7, 10), (8, 12), (10, 11)]"
1b1e242f-386c-45fb-b5c7-7d805c9923d3,"[14, 17]","[(0, 2), (0, 6), (0, 7), (0, 9), (0, 11), (1, 10), (1, 12), (3, 4), (3, 8), (3, 10), (4, 6), (4, 9), (5, 9), (6, 7), (7, 10), (7, 13), (10, 11)]"
9dec6c56-411a-4172-85b4-51c52db777c1,"[14, 17]","[(0, 7), (1, 3), (1, 5), (1, 6), (2, 6), (2, 13), (4, 7), (4, 10), (4, 11), (4, 12), (5, 7), (6, 7), (6, 11), (7, 9), (7, 13), (8, 13), (10, 11)]"
1adc61f3-a351-4de9-8743-c007ef1e02c6,"[14, 17]","[(0, 2), (0, 7), (0, 13), (1, 4), (1, 5), (2, 3), (2, 6), (2, 10), (2, 11), (3, 13), (4, 7), (4, 10), (5, 7), (5, 11), (6, 12), (8, 10), (9, 11)]"
6f806345-4e90-4990-9fb0-5b0bb21340bc,"[14, 16]","[(0, 8), (1, 3), (1, 5), (1, 9), (2, 5), (2, 8), (3, 10), (4, 5), (4, 13), (5, 7), (5, 11), (5, 13), (6, 12), (7, 12), (8, 12), (10, 11)]"
edaa92aa-371e-4d1e-a3a6-c5b9cfbd7523,"[14, 17]","[(0, 3), (0, 8), (1, 3), (1, 7), (1, 10), (2, 9), (2, 10), (2, 12), (3, 6), (3, 8), (4, 5), (4, 13), (5, 7), (5, 8), (6, 12), (6, 13), (7, 11)]"
e03a8230-a219-4d55-ae3a-afafa8153e97,"[15, 18]","[(0, 2), (0, 5), (0, 8), (0, 13), (1, 2), (1, 6), (3, 4), (3, 7), (4, 9), (4, 13), (5, 11), (6, 9), (7, 9), (8, 14), (10, 11), (10, 14), (12, 14), (13, 14)]"
676c3c3e-f3f9-4f19-ae42-4a94895320ea,"[15, 19]","[(0, 5), (0, 14), (1, 5), (1, 10), (2, 5), (2, 6), (2, 9), (2, 11), (2, 12), (3, 8), (3, 11), (4, 7), (4, 12), (5, 13), (6, 12), (6, 13), (6, 14), (7, 12), (11, 13)]"
0b6d3d2c-f46e-4475-91e2-726cb5a89849,"[15, 17]","[(0, 1), (0, 14), (1, 2), (1, 11), (2, 6), (2, 14), (3, 9), (3, 13), (4, 5), (4, 12), (4, 13), (6, 13), (7, 9), (8, 13), (8, 14), (9, 10), (9, 11)]"
ac773572-1253-477c-b648-077a178b299b,"[15, 18]","[(0, 3), (0, 11), (1, 3), (1, 14), (2, 8), (2, 14), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (4, 12), (5, 11), (6, 9), (6, 10), (7, 9), (7, 10), (7, 13)]"
ba9c80bc-9c13-4a48-a45a-cedd19b29426,"[15, 17]","[(0, 13), (1, 3), (2, 3), (2, 4), (2, 14), (4, 9), (4, 12), (5, 7), (5, 8), (5, 10), (6, 8), (6, 14), (8, 12), (8, 14), (9, 12), (9, 13), (11, 13)]"
3e7389fc-5260-4be3-9c02-e531b3a0fa3d,"[15, 18]","[(0, 3), (0, 8), (1, 3), (1, 6), (2, 4), (2, 7), (2, 10), (3, 11), (5, 7), (5, 11), (5, 13), (5, 14), (7, 12), (8, 12), (9, 14), (10, 11), (10, 13), (12, 13)]"
95d37031-fcbd-4fed-85e5-92fd0541ac61,"[15, 19]","[(0, 2), (0, 3), (0, 8), (0, 9), (1, 10), (2, 13), (4, 9), (4, 14), (5, 8), (5, 9), (6, 9), (7, 8), (7, 12), (7, 13), (7, 14), (8, 10), (9, 10), (11, 12), (13, 14)]"
896e5102-5369-4f0f-bb54-a00ed86672ce,"[15, 19]","[(0, 4), (0, 6), (0, 7), (0, 9), (1, 3), (1, 8), (1, 13), (2, 8), (3, 4), (3, 8), (4, 10), (4, 11), (4, 12), (4, 13), (5, 8), (5, 14), (6, 7), (6, 9), (9, 13)]"
729dde80-e45a-4790-b2ef-7c8a1525dc95,"[15, 17]","[(0, 7), (0, 9), (0, 11), (1, 5), (2, 7), (3, 6), (3, 10), (3, 13), (4, 12), (5, 11), (7, 10), (7, 11), (8, 9), (9, 11), (10, 12), (10, 14), (11, 12)]"
f4f2f61b-6a07-4a7e-99e7-0165aecd29dd,"[15, 17]","[(0, 3), (1, 14), (2, 5), (2, 14), (3, 6), (3, 7), (4, 10), (4, 11), (5, 7), (5, 8), (5, 9), (7, 13), (8, 9), (9, 14), (10, 12), (12, 14), (13, 14)]"
fbb477c5-a1db-4a4a-9864-0367654d559c,"[16, 18]","[(0, 4), (0, 9), (0, 11), (0, 14), (1, 3), (1, 8), (2, 6), (2, 10), (2, 11), (3, 4), (4, 7), (4, 12), (4, 15), (5, 14), (6, 9), (7, 15), (8, 13), (8, 15)]"
c0bb68f7-aea0-4e1e-a7c1-cc04664444e1,"[16, 20]","[(0, 13), (0, 14), (1, 3), (1, 8), (2, 7), (2, 13), (3, 4), (3, 10), (3, 11), (3, 15), (5, 12), (6, 9), (6, 11), (6, 13), (8, 9), (9, 10), (9, 13), (9, 14), (10, 15), (12, 14)]"
7b3ad917-0293-41f8-94e5-6baeaa198235,"[16, 17]","[(0, 8), (0, 13), (1, 9), (1, 14), (2, 4), (2, 12), (3, 8), (3, 10), (4, 14), (5, 8), (5, 10), (5, 12), (6, 10), (7, 14), (10, 11), (12, 15), (13, 14)]"
ed82bb65-1c95-408d-911d-33bf6b7df14c,"[16, 20]","[(0, 1), (0, 4), (0, 10), (1, 2), (1, 5), (1, 12), (2, 4), (2, 7), (2, 14), (3, 12), (4, 11), (5, 8), (5, 13), (6, 7), (7, 15), (9, 10), (9, 11), (9, 13), (9, 14), (11, 12)]"
f6f090b1-3927-4dea-a2b6-27aad53f0746,"[16, 18]","[(0, 10), (0, 15), (1, 12), (1, 15), (2, 3), (2, 10), (3, 8), (4, 13), (5, 6), (5, 7), (5, 10), (6, 12), (8, 11), (8, 12), (8, 13), (8, 14), (9, 10), (11, 13)]"
6f5df4b8-a388-4a10-9e3c-d50856e6d4b7,"[16, 20]","[(0, 4), (1, 9), (1, 11), (2, 6), (2, 8), (2, 10), (3, 4), (3, 8), (3, 10), (3, 11), (4, 10), (4, 12), (5, 15), (6, 7), (6, 8), (7, 15), (9, 10), (10, 13), (10, 14), (13, 15)]"
d5b43dfc-659a-4bd1-98f9-712a26afd236,"[16, 18]","[(0, 9), (0, 10), (1, 2), (1, 8), (2, 14), (3, 4), (4, 8), (4, 12), (5, 7), (5, 8), (5, 12), (5, 15), (6, 12), (7, 9), (8, 11), (10, 13), (10, 14), (10, 15)]"
b9f940ae-0ca2-4da1-9512-c8e13a1ab77d,"[16, 19]","[(0, 4), (0, 8), (0, 13), (1, 7), (2, 4), (2, 8), (2, 14), (3, 15), (4, 5), (5, 9), (5, 13), (6, 13), (7, 9), (8, 12), (8, 13), (8, 15), (9, 11), (10, 14), (10, 15)]"
65b3157a-6b54-41ab-95e5-0df113be0eb4,"[16, 18]","[(0, 2), (0, 6), (1, 2), (1, 7), (1, 10), (1, 11), (2, 11), (3, 8), (3, 14), (4, 12), (4, 15), (5, 9), (5, 10), (6, 13), (9, 14), (10, 13), (11, 12), (11, 14)]"
67a0fe41-9fe3-4194-a444-2996b26d2673,"[16, 19]","[(0, 5), (0, 11), (0, 15), (1, 8), (2, 15), (3, 4), (3, 7), (3, 12), (4, 11), (5, 11), (5, 14), (6, 15), (7, 9), (8, 12), (9, 10), (9, 13), (9, 15), (10, 15), (12, 13)]"
2672f1b9-f670-4531-8733-c8acf0d676e6,"[17, 19]","[(0, 5), (0, 9), (1, 5), (1, 11), (2, 8), (2, 9), (3, 9), (3, 10), (3, 12), (3, 14), (4, 15), (5, 15), (6, 10), (6, 16), (7, 8), (7, 10), (7, 16), (8, 11), (11, 13)]"
df8bf46d-55c9-41f8-b508-0883fb8efc05,"[17, 21]","[(0, 7), (0, 12), (1, 10), (2, 13), (2, 14), (2, 16), (3, 5), (3, 13), (4, 8), (4, 14), (4, 16), (5, 15), (6, 11), (6, 14), (7, 12), (7, 16), (9, 14), (10, 13), (10, 14), (11, 16), (14, 16)]"
b49378d9-538c-408b-8058-b82d4ddf6978,"[17, 21]","[(0, 15), (1, 8), (2, 9), (2, 13), (2, 16), (3, 7), (3, 14), (4, 12), (4, 16), (5, 10), (5, 14), (6, 8), (6, 15), (7, 16), (8, 10), (8, 16), (10, 14), (11, 12), (11, 15), (13, 14), (14, 16)]"
